Customer ID,CO2_emission_kg
"""CID1000119""",1.15488
"""CID1000157""",0.0
"""CID1000234""",0.0
"""CID1000323""",1.45872
"""CID1000434""",0.0
"""CID1000448""",2.48256
"""CID1000469""",0.0
"""CID1000583""",0.0
"""CID1000588""",0.0
"""CID1000710""",3.1256999999999997
"""CID1000804""",4.2093
"""CID1000829""",0.0
"""CID1000836""",1.85856
"""CID1000862""",0.9842399999999999
"""CID1000892""",0.0
"""CID1000930""",0.0
"""CID1000949""",0.4311
"""CID1000955""",0.0
"""CID1000971""",0.0
"""CID1001022""",0.0
"""CID1001114""",3.71904
"""CID1001157""",0.0
"""CID1001214""",0.0
"""CID1001250""",3.5136
"""CID1001276""",0.0
"""CID1001358""",4.5408
"""CID1001414""",0.9770399999999999
"""CID1001436""",1.45536
"""CID1001483""",4.848
"""CID1001485""",0.0
"""CID1001487""",7.232640000000001
"""CID1001625""",1.1268
"""CID1001716""",0.0
"""CID1001738""",0.30743999999999994
"""CID1001873""",0.23808
"""CID1001937""",4.464
"""CID1001964""",0.0
"""CID1001980""",0.0
"""CID1002049""",3.80352
"""CID1002086""",0.0
"""CID1002110""",2.77632
"""CID1002195""",0.0
"""CID1002334""",0.0
"""CID1002362""",3.5747999999999998
"""CID1002564""",0.0
"""CID1002578""",6.0537600000000005
"""CID1002627""",0.0
"""CID1002686""",0.0
"""CID1002696""",0.0
"""CID1002701""",6.3379199999999996
"""CID1002773""",0.7343999999999999
"""CID1002787""",0.0
"""CID1002854""",0.0
"""CID1002894""",2.2761
"""CID1002913""",0.0
"""CID1002931""",0.0
"""CID1003148""",0.0
"""CID1003183""",2.03904
"""CID1003222""",0.0
"""CID1003306""",1.1455199999999999
"""CID1003343""",0.0
"""CID1003436""",0.0
"""CID1003454""",0.0
"""CID1003721""",0.0
"""CID1003853""",0.0
"""CID1003871""",4.1664
"""CID1003884""",0.0
"""CID1004053""",1.36872
"""CID1004088""",0.0
"""CID1004319""",3.2832000000000003
"""CID1004454""",0.0
"""CID1004464""",0.0
"""CID1004550""",0.0
"""CID1004618""",0.0
"""CID1004677""",0.0
"""CID1004692""",0.8810999999999999
"""CID1004780""",6.297599999999999
"""CID1004784""",0.0
"""CID1004787""",1.2
"""CID1004802""",1.9929600000000003
"""CID1004833""",0.0
"""CID1004846""",0.0
"""CID1004879""",0.0
"""CID1004961""",3.08544
"""CID1005085""",0.0
"""CID1005092""",0.0
"""CID1005204""",0.0
"""CID1005235""",3.4483200000000003
"""CID1005242""",0.0
"""CID1005245""",0.0
"""CID1005380""",0.0
"""CID1005419""",3.1550399999999996
"""CID1005465""",0.0
"""CID1005577""",0.0
"""CID1005609""",0.0
"""CID1005758""",0.0
"""CID1005768""",0.0
"""CID1005780""",0.0
"""CID1005809""",0.7919999999999999
"""CID1005837""",4.13952
"""CID1005868""",0.0
"""CID1005967""",0.0
"""CID1005969""",0.0
"""CID1005970""",1.0272
"""CID1006195""",0.0
"""CID1006209""",2.91072
"""CID1006244""",0.0
"""CID1006259""",5.1763200000000005
"""CID1006265""",2.5617599999999996
"""CID1006298""",0.0
"""CID1006331""",0.0
"""CID1006457""",0.0
"""CID1006588""",8.238719999999999
"""CID1006600""",2.4386399999999995
"""CID1006621""",0.0
"""CID1006677""",0.0
"""CID1006682""",0.0
"""CID1006720""",0.0
"""CID1006790""",0.5382
"""CID1006935""",0.0
"""CID1007107""",3.54816
"""CID1007112""",3.6296999999999997
"""CID1007117""",0.0
"""CID1007201""",4.2786
"""CID1007489""",2.74536
"""CID1007503""",0.6443999999999999
"""CID1007593""",4.3694999999999995
"""CID1007629""",0.0
"""CID1007791""",0.0
"""CID1007802""",1.9845
"""CID1008015""",0.0
"""CID1008079""",9.13536
"""CID1008198""",4.84608
"""CID1008248""",0.0
"""CID1008269""",5.381760000000001
"""CID1008317""",3.3669
"""CID1008357""",0.0
"""CID1008497""",1.5993
"""CID1008514""",2.2752
"""CID1008526""",0.0
"""CID1008572""",0.0
"""CID1008579""",3.22368
"""CID1008640""",0.0
"""CID1008784""",2.3579999999999997
"""CID1008837""",1.28256
"""CID1008847""",0.3096
"""CID1009023""",0.7910999999999999
"""CID1009167""",0.0
"""CID1009240""",2.33136
"""CID1009390""",0.8899199999999999
"""CID1009511""",8.80512
"""CID1009584""",0.31607999999999997
"""CID1009751""",4.394699999999999
"""CID1009801""",2.02752
"""CID1009944""",0.0
"""CID1009995""",0.0
"""CID1010248""",7.6665600000000005
"""CID1010299""",0.0
"""CID1010326""",0.0
"""CID1010339""",0.0
"""CID1010414""",3.5863199999999997
"""CID1010421""",7.12512
"""CID1010450""",0.0
"""CID1010486""",1.61424
"""CID1010547""",0.0
"""CID1010678""",6.7296
"""CID1010699""",2.5516799999999997
"""CID1010727""",5.5008
"""CID1010821""",1.0125
"""CID1010852""",3.2102399999999998
"""CID1010919""",3.2832
"""CID1010931""",0.0
"""CID1010963""",0.0
"""CID1010970""",1.6190999999999998
"""CID1010986""",0.0
"""CID1011103""",5.8156799999999995
"""CID1011187""",0.0
"""CID1011265""",2.76288
